test_id,test_name,why_this_test,status,metric,value,threshold,artifact,feature_profile,excluded_features,track_agnostic_mode,drop_source_year_feature
B1,ML precision delta vs SDE,Checks if ML improves precision under the same comparator semantics.,PASS,precision_delta,0.1970588235294118,0.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/significance_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
B2,Two-proportion z significance,Tests whether observed precision difference is statistically significant.,PASS,p_value,1.1056658340447e-05,0.05,data_lake/reports/no_source_year_track_agnostic_v1_strict/significance_tests_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
C1,Reference precision floor,Verifies threshold policy remains at or above the SDE precision floor.,PASS,reference_precision,0.8646496815286624,0.734313725490196,data_lake/reports/no_source_year_track_agnostic_v1_strict/threshold_frontier_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
C2,Lookahead no-match dominance,"Checks that most exclusions are horizon-related, supporting comparator interpretation.",PASS,no_match_rate,0.965948699615694,0.9,data_lake/reports/no_source_year_track_agnostic_v1_strict/threshold_frontier_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
D1,Constrained precision,Ensures calibrated constrained policy is precise enough for strategy actions.,FAIL,constrained_precision,0.2494669509594882,0.6,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
D2,Precision-floor reachability,Measures whether candidate thresholds can reliably satisfy precision constraints.,FAIL,reachability_ratio,0.7422877422877423,0.9,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
D3,Fallback rate,Checks constrained policy stability when precision floor is hard to satisfy.,PASS,fallback_rate,0.0405405405405405,0.1,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
F1,Training-serving parity gate,Guards against feature/schema skew between offline training and live serving.,FAIL,feature_parity_overall_gate,0.0,1.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/feature_parity_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
G1,Latency gate,Checks p95 end-to-end inference latency against operational budget.,PASS,latency_p95_total_ms,9.002184849668993,500.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/live_latency_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
G2,Availability gate,Ensures prediction path remains available across replayed events.,PASS,availability_pct,100.0,99.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/live_latency_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
H1,Integrated deployment decision,Combines B/C/D/F/G evidence into one actionable readiness decision.,NO_GO,integrated_gate_decision,,,data_lake/reports/no_source_year_track_agnostic_v1_strict/integrated_gate_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
J1,Split-integrity gate,Verifies grouped race CV and OOF coverage assumptions are preserved.,FAIL,split_integrity_overall,0.0,1.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/split_integrity_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
J2,Comparator-invariance gate,"Ensures fairness contract (actionable-only, fixed horizon, one-to-one matching) stays frozen.",PASS,comparator_invariance_overall,1.0,1.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/comparator_invariance_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,track_agnostic_v1,"team,rainfall,hasGapAhead,hasGapBehind,trackTemp,airTemp,humidity,speedTrap,lapTime",track_agnostic_v1,1
