phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.14382247522664982,0.0,gte,0.14382247522664982,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/significance_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,positive precision delta required
B,two_proportion_pvalue,PASS,5.10940059816889e-07,0.05,lte,0.049999489059940186,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/significance_tests_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,z=5.022158
C,reference_threshold_precision_vs_sde_floor,PASS,0.8584005869405723,0.734313725490196,gte,0.12408686145037628,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/threshold_frontier_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9659090909090908,0.9,gte,0.0659090909090908,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/threshold_frontier_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,FAIL,0.1248622842453176,0.6,gte,-0.4751377157546824,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.7510898458266879,0.9,gte,-0.1489101541733121,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0526315789473684,0.1,lte,0.04736842105263161,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,FAIL,0.0,1.0,gte,-1.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/feature_parity_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,FAIL,0.8150864197530865,0.95,gte,-0.13491358024691347,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/feature_parity_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,sampled parity gate
G,latency_p95_total_ms,PASS,4.949188050159129,500.0,lte,495.05081194984086,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_latency_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_latency_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_drop_medium_track_agnostic_v1/live_availability_summary_2022_2025_racewise_no_source_year_drop_medium_track_agnostic_v1.csv,observed replay failures
