phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.2139621365787696,0.0,gte,0.2139621365787696,data_lake/reports/no_source_year_percent_race_team_v1/significance_summary_2022_2025_no_source_year_percent_race_team_v1.csv,positive precision delta required
B,two_proportion_pvalue,PASS,7.418541336789986e-10,0.05,lte,0.04999999925814587,data_lake/reports/no_source_year_percent_race_team_v1/significance_tests_2022_2025_no_source_year_percent_race_team_v1.csv,z=6.156894
C,reference_threshold_precision_vs_sde_floor,PASS,0.8753511235955056,0.734313725490196,gte,0.14103739810530957,data_lake/reports/no_source_year_percent_race_team_v1/threshold_frontier_2022_2025_no_source_year_percent_race_team_v1.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9653026787597552,0.9,gte,0.06530267875975515,data_lake/reports/no_source_year_percent_race_team_v1/threshold_frontier_2022_2025_no_source_year_percent_race_team_v1.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.7985074626865671,0.6,gte,0.19850746268656716,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_race_team_v1.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.8965328965328967,0.9,gte,-0.0034671034671033274,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_race_team_v1.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0135135135135135,0.1,lte,0.0864864864864865,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_race_team_v1.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/no_source_year_percent_race_team_v1/feature_parity_summary_2022_2025_no_source_year_percent_race_team_v1.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/no_source_year_percent_race_team_v1/feature_parity_summary_2022_2025_no_source_year_percent_race_team_v1.csv,sampled parity gate
G,latency_p95_total_ms,PASS,4.712675498376476,500.0,lte,495.2873245016235,data_lake/reports/no_source_year_percent_race_team_v1/live_latency_summary_2022_2025_no_source_year_percent_race_team_v1.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_percent_race_team_v1/live_latency_summary_2022_2025_no_source_year_percent_race_team_v1.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_percent_race_team_v1/live_availability_summary_2022_2025_no_source_year_percent_race_team_v1.csv,observed replay failures
