phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.20854341736694681,0.0,gte,0.20854341736694681,data_lake/reports/significance_summary_2022_2025_merged.csv,positive precision delta required
B,two_proportion_pvalue,PASS,0.0,0.05,lte,0.05,data_lake/reports/significance_tests_2022_2025_merged.csv,z=10.328940
C,reference_threshold_precision_vs_sde_floor,PASS,0.8776577204600906,0.734313725490196,gte,0.14334399496989458,data_lake/reports/threshold_frontier_2022_2025_merged.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9683743444937476,0.9,gte,0.06837434449374757,data_lake/reports/threshold_frontier_2022_2025_merged.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.8031496062992126,0.6,gte,0.20314960629921264,data_lake/reports/calibration_policy_summary_2022_2025_merged.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.8996723996723996,0.9,gte,-0.0003276003276003747,data_lake/reports/calibration_policy_summary_2022_2025_merged.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0,0.1,lte,0.1,data_lake/reports/calibration_policy_summary_2022_2025_merged.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/feature_parity_summary_2022_2025_merged.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/feature_parity_summary_2022_2025_merged.csv,sampled parity gate
G,latency_p95_total_ms,PASS,10.268393499427477,500.0,lte,489.7316065005725,data_lake/reports/live_latency_summary_2022_2025_merged.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/live_latency_summary_2022_2025_merged.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/live_availability_summary_2022_2025_merged.csv,observed replay failures
