model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes,lapNumber,trackStatus,rainfall,gapAhead,gapBehind,position,pace_drop_ratio,tire_life_ratio,lapTime,trackTemp,airTemp,humidity,speedTrap,race_progress_pct,failure_type_suggested,context_source_suggested,notes_suggested,review_priority
Batch,excluded_no_match,unexpected_within_horizon,2025 :: Bahrain Grand Prix,OCO,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",26,1,False,3.588,0.025,16,1.0133726364224604,0.4,98.665,22.9,18.1,49,289.0,0.45614035087719296,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",8
Batch,excluded_no_match,near_miss_3_5,2025 :: Bahrain Grand Prix,ALO,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,38,1,False,5.595,1.154,7,1.005144681246707,0.575,97.297,22.6,17.9,50,301.0,0.6666666666666666,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,7
Batch,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,RIC,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,19,1,False,4.265,6.114,6,1.001823171736959,0.6333333333333333,103.305,41.6,30.2,40,290.0,0.3392857142857143,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,7
MOA,scored_fp,fp_scored,2022 :: Saudi Arabian Grand Prix,GAS,13,0,,2.0,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.,13,1,False,2.114,1.4889999999999999,10,1.0064891984906912,0.43333333333333335,97.094,28.4,25.5,59,307.0,0.26,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.,7
SDE,excluded_no_match,unexpected_within_horizon,2022 :: Abu Dhabi Grand Prix,PER,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",14,1,False,4.718,0.373,2,1.0190313718539523,0.4666666666666667,91.99,33.9,28.4,62,297.0,0.2413793103448276,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",6
SDE,excluded_no_match,unexpected_within_horizon,2025 :: Italian Grand Prix,NOR,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",32,1,False,0.032,2.162,7,1.005130943536404,0.35,86.586,42.6,29.9,41,317.0,0.6037735849056604,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",6
MOA,excluded_no_match,near_miss_3_5,2022 :: Monaco Grand Prix,ZHO,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,16,1,True,12.642,15.931000000000001,14,1.0,0.64,95.725,26.9,21.9,77,270.0,0.20512820512820512,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2022 :: Spanish Grand Prix,VER,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,8,1,False,1.074,4.131,2,1.0069250019997942,0.6111111111111112,88.115,49.5,37.0,6,298.0,0.12121212121212122,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,ALO,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,48,1,False,20.519,5.145,5,1.0067823948596586,0.43333333333333335,76.15,40.4,21.8,81,299.0,0.676056338028169,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,excluded_no_match,near_miss_3_5,2024 :: Bahrain Grand Prix,HUL,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,16,1,False,108.509,107.313,17,1.004922058838641,0.375,97.796,23.3,18.1,50,304.0,0.2807017543859649,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,excluded_no_match,near_miss_3_5,2024 :: Emilia Romagna Grand Prix,RUS,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,14,1,False,1.4809999999999999,0.967,6,1.0084180686510136,0.4666666666666667,81.818,40.1,25.0,50,287.0,0.2222222222222222,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,excluded_no_match,near_miss_3_5,2025 :: Hungarian Grand Prix,LAT,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,13,1,False,0.789,215.029,18,1.013311206423037,0.43333333333333335,86.706,26.9,18.5,71,287.0,0.18571428571428572,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,excluded_no_match,near_miss_3_5,2025 :: São Paulo Grand Prix,LAT,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,28,1,False,6.749,999.0,18,1.0087922318046056,0.2,78.021,44.4,22.9,77,307.0,0.39436619718309857,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
SDE,scored_fp,fp_scored,2023 :: São Paulo Grand Prix,STR,27,0,,2.0,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.,27,1,False,13.358,2.941,5,1.009079989150511,0.9333333333333333,78.126,44.1,22.8,77,303.0,0.38028169014084506,Strategic Offset / Gamble,F1 race report + lap chart + pit-stop summary,Model flagged degradation signal but team likely optimized for track-position timing.,5
SDE,scored_fp,fp_scored,2024 :: Canadian Grand Prix,BOT,36,0,,0.0,Weather / Safety Car Disruption,F1 race report + lap chart + pit-stop summary,Pace shock likely exogenous (rain/neutralization) rather than clean tire-cliff signal.,36,2,False,310.76,315.476,11,1.220819783807406,0.9,94.981,32.3,19.5,61,301.0,0.5142857142857142,Weather / Safety Car Disruption,F1 race report + lap chart + pit-stop summary,Pace shock likely exogenous (rain/neutralization) rather than clean tire-cliff signal.,5
MOA,excluded_no_match,far_miss_6_plus,2023 :: Abu Dhabi Grand Prix,GAS,21,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",21,1,False,0.626,13.583,19,1.0046694060515502,0.175,91.443,33.1,28.3,64,303.0,0.3620689655172414,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
MOA,excluded_no_match,far_miss_6_plus,2024 :: Mexico City Grand Prix,VER,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",13,1,False,999.0,2.165,1,1.0068975462039462,0.43333333333333335,83.792,47.4,25.4,25,322.0,0.18309859154929578,Early/Mid Stint Strategic Deferral,F1 race report + lap chart + pit-stop summary,"Stop deferred substantially; likely traffic, undercut defense, or planned offset window.",3
