phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.1540583675330598,0.0,gte,0.1540583675330598,data_lake/reports/no_source_year_percent_race_team_v1/significance_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,positive precision delta required
B,two_proportion_pvalue,PASS,1.4747096055423017e-06,0.05,lte,0.04999852529039446,data_lake/reports/no_source_year_percent_race_team_v1/significance_tests_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,z=4.814633
C,reference_threshold_precision_vs_sde_floor,PASS,0.8632707774798928,0.734313725490196,gte,0.12895705198969676,data_lake/reports/no_source_year_percent_race_team_v1/threshold_frontier_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.964265668849392,0.9,gte,0.064265668849392,data_lake/reports/no_source_year_percent_race_team_v1/threshold_frontier_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,FAIL,0.4436741767764298,0.6,gte,-0.1563258232235702,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.7710792131844763,0.9,gte,-0.12892078681552377,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0105263157894736,0.1,lte,0.0894736842105264,data_lake/reports/no_source_year_percent_race_team_v1/calibration_policy_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/no_source_year_percent_race_team_v1/feature_parity_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/no_source_year_percent_race_team_v1/feature_parity_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,sampled parity gate
G,latency_p95_total_ms,PASS,4.603370500262803,500.0,lte,495.3966294997372,data_lake/reports/no_source_year_percent_race_team_v1/live_latency_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_percent_race_team_v1/live_latency_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_percent_race_team_v1/live_availability_summary_2022_2025_racewise_no_source_year_percent_race_team_v1.csv,observed replay failures
