phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.23031649959018996,0.0,gte,0.23031649959018996,data_lake/reports/no_source_year/significance_summary_2022_2025_no_source_year.csv,positive precision delta required
B,two_proportion_pvalue,PASS,0.0,0.05,lte,0.05,data_lake/reports/no_source_year/significance_tests_2022_2025_no_source_year.csv,z=8.701258
C,reference_threshold_precision_vs_sde_floor,PASS,0.8936850519584333,0.734313725490196,gte,0.15937132646823726,data_lake/reports/no_source_year/threshold_frontier_2022_2025_no_source_year.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.966372370812776,0.9,gte,0.06637237081277603,data_lake/reports/no_source_year/threshold_frontier_2022_2025_no_source_year.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.8181818181818182,0.6,gte,0.21818181818181825,data_lake/reports/no_source_year/calibration_policy_summary_2022_2025_no_source_year.csv,policy precision gate
D,precision_floor_reachability_ratio,PASS,0.9226044226044224,0.9,gte,0.022604422604422414,data_lake/reports/no_source_year/calibration_policy_summary_2022_2025_no_source_year.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0135135135135135,0.1,lte,0.0864864864864865,data_lake/reports/no_source_year/calibration_policy_summary_2022_2025_no_source_year.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/no_source_year/feature_parity_summary_2022_2025_no_source_year.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/no_source_year/feature_parity_summary_2022_2025_no_source_year.csv,sampled parity gate
G,latency_p95_total_ms,PASS,10.002880999991246,500.0,lte,489.99711900000875,data_lake/reports/no_source_year/live_latency_summary_2022_2025_no_source_year.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year/live_latency_summary_2022_2025_no_source_year.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year/live_availability_summary_2022_2025_no_source_year.csv,observed replay failures
