phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.1102808691043986,0.0,gte,0.1102808691043986,data_lake/reports/no_source_year_track_agnostic_v1_strict/significance_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,positive precision delta required
B,two_proportion_pvalue,PASS,0.003866684243154,0.05,lte,0.046133315756846004,data_lake/reports/no_source_year_track_agnostic_v1_strict/significance_tests_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,z=2.888838
C,reference_threshold_precision_vs_sde_floor,PASS,0.8537428023032629,0.734313725490196,gte,0.11942907681306691,data_lake/reports/no_source_year_track_agnostic_v1_strict/threshold_frontier_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.965990790855481,0.9,gte,0.06599079085548099,data_lake/reports/no_source_year_track_agnostic_v1_strict/threshold_frontier_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,FAIL,0.1362467866323907,0.6,gte,-0.4637532133676093,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,policy precision gate
D,precision_floor_reachability_ratio,FAIL,0.6528442317916001,0.9,gte,-0.2471557682083999,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0736842105263157,0.1,lte,0.026315789473684306,data_lake/reports/no_source_year_track_agnostic_v1_strict/calibration_policy_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,FAIL,0.0,1.0,gte,-1.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/feature_parity_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,FAIL,0.8150864197530865,0.95,gte,-0.13491358024691347,data_lake/reports/no_source_year_track_agnostic_v1_strict/feature_parity_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,sampled parity gate
G,latency_p95_total_ms,PASS,7.263786349449218,500.0,lte,492.7362136505508,data_lake/reports/no_source_year_track_agnostic_v1_strict/live_latency_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/live_latency_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_track_agnostic_v1_strict/live_availability_summary_2022_2025_racewise_no_source_year_track_agnostic_v1_strict.csv,observed replay failures
