test_id,test_name,why_this_test,status,metric,value,threshold,artifact,feature_profile,excluded_features,track_agnostic_mode,drop_source_year_feature
B1,ML precision delta vs SDE,Checks if ML improves precision under the same comparator semantics.,PASS,precision_delta,0.156233538191396,0.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/significance_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
B2,Two-proportion z significance,Tests whether observed precision difference is statistically significant.,PASS,p_value,1.6737278230039007e-10,0.05,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/significance_tests_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
C1,Reference precision floor,Verifies threshold policy remains at or above the SDE precision floor.,PASS,reference_precision,0.8776290630975143,0.734313725490196,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/threshold_frontier_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
C2,Lookahead no-match dominance,"Checks that most exclusions are horizon-related, supporting comparator interpretation.",PASS,no_match_rate,0.9670555936856554,0.9,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/threshold_frontier_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
D1,Constrained precision,Ensures calibrated constrained policy is precise enough for strategy actions.,FAIL,constrained_precision,0.1629464285714285,0.6,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
D2,Precision-floor reachability,Measures whether candidate thresholds can reliably satisfy precision constraints.,FAIL,reachability_ratio,0.7921318447634237,0.9,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
D3,Fallback rate,Checks constrained policy stability when precision floor is hard to satisfy.,PASS,fallback_rate,0.0526315789473684,0.1,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
F1,Training-serving parity gate,Guards against feature/schema skew between offline training and live serving.,PASS,feature_parity_overall_gate,1.0,1.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/feature_parity_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
G1,Latency gate,Checks p95 end-to-end inference latency against operational budget.,PASS,latency_p95_total_ms,17.28125000026921,500.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/live_latency_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
G2,Availability gate,Ensures prediction path remains available across replayed events.,PASS,availability_pct,100.0,99.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/live_latency_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
H1,Integrated deployment decision,Combines B/C/D/F/G evidence into one actionable readiness decision.,NO_GO,integrated_gate_decision,,,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/integrated_gate_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
J1,Split-integrity gate,Verifies grouped race CV and OOF coverage assumptions are preserved.,FAIL,split_integrity_overall,0.0,1.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/split_integrity_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
J2,Comparator-invariance gate,"Ensures fairness contract (actionable-only, fixed horizon, one-to-one matching) stays frozen.",PASS,comparator_invariance_overall,1.0,1.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/comparator_invariance_summary_2022_2025_racewise_no_source_year_drop_aggressive_v1_candidate.csv,drop_aggressive_v1_candidate,"team,rainfall,hasGapAhead,hasGapBehind,pitLoss,pace_trend,has_drop_zone_data",off,1
