phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.22441643323996274,0.0,gte,0.22441643323996274,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/significance_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,positive precision delta required
B,two_proportion_pvalue,PASS,0.0,0.05,lte,0.05,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/significance_tests_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,z=8.507268
C,reference_threshold_precision_vs_sde_floor,PASS,0.8871224165341812,0.734313725490196,gte,0.1528086910439852,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/threshold_frontier_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9681544633901704,0.9,gte,0.0681544633901704,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/threshold_frontier_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.8282828282828283,0.6,gte,0.2282828282828283,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,policy precision gate
D,precision_floor_reachability_ratio,PASS,0.9032214032214032,0.9,gte,0.003221403221403185,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0135135135135135,0.1,lte,0.0864864864864865,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/calibration_policy_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/feature_parity_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/feature_parity_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,sampled parity gate
G,latency_p95_total_ms,PASS,7.520073250452674,500.0,lte,492.4799267495473,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/live_latency_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/live_latency_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_drop_aggressive_v1_candidate/live_availability_summary_2022_2025_no_source_year_drop_aggressive_v1_candidate.csv,observed replay failures
