model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes,lapNumber,trackStatus,rainfall,gapAhead,gapBehind,position,pace_drop_ratio,tire_life_ratio,lapTime,trackTemp,airTemp,humidity,speedTrap,race_progress_pct,failure_type_suggested,context_source_suggested,notes_suggested,review_priority
Batch,excluded_no_match,unexpected_within_horizon,2025 :: Belgian Grand Prix,MAG,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",24,1,True,1.7109999999999999,8.363,8,1.0252568723438593,0.6333333333333333,114.351,25.0,17.1,67,309.0,0.5454545454545454,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",8
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Hungarian Grand Prix,SAI,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",46,1,False,3.848,7.399,8,1.0,0.125,83.297,47.9,29.1,32,290.0,0.6571428571428571,Duplicate Trigger (Comparator One-to-One Consumption),F1 race report + lap chart + pit-stop summary,"A pit existed within H=2, but likely consumed by an earlier suggestion for same driver stint.",6
MOA,excluded_no_match,near_miss_3_5,2022 :: Bahrain Grand Prix,RIC,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,41,1,False,1.637,12.279,18,1.0012837749047276,0.2,99.054,26.9,22.7,36,297.0,0.7192982456140351,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2022 :: Hungarian Grand Prix,ZHO,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,23,1,False,3.04,15.547,10,1.0043052378438617,0.7666666666666667,85.612,27.8,18.5,70,278.0,0.32857142857142857,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2023 :: Austrian Grand Prix,LAT,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,9,1,False,0.07200000000000001,0.11900000000000001,16,1.006608419822477,0.3,72.353,29.6,20.3,36,309.0,0.1267605633802817,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2023 :: Spanish Grand Prix,TSU,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,27,1,False,2.766,5.872,8,1.0088257048654206,0.425,80.471,30.4,22.0,66,326.0,0.4090909090909091,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2024 :: British Grand Prix,VER,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,30,1,False,999.0,9.576,1,1.0024419891901277,1.0,92.363,33.3,21.0,61,293.0,0.5769230769230769,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2025 :: Australian Grand Prix,NOR,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,31,1,False,2.075,375.465,8,1.0013499051418009,0.575,82.339,30.9,17.9,54,290.0,0.5344827586206896,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2025 :: British Grand Prix,STR,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,27,1,False,1.8980000000000001,5.958,11,1.001320961402152,0.9333333333333333,93.237,32.4,20.6,61,305.0,0.5192307692307693,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
MOA,excluded_no_match,near_miss_3_5,2025 :: Canadian Grand Prix,ZHO,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,46,1,False,133.527,999.0,17,1.0,0.35,77.141,30.7,19.1,64,303.0,0.6571428571428571,Near-Miss Strategic Extension,F1 race report + lap chart + pit-stop summary,Decision appears directionally correct; stop executed 3-5 laps later (overcut/position management).,5
